mode,alpha,mu,a,gamma,m0,steps,final_M,final_Xi,regime,xi_plateau,blowup_step,under_resolved
B_fixed_seed_sigma_feedback,0.01,0.0016681005,2,0,20,160,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,0.01,0.0027825594,2,0,20,160,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,0.01,0.0046415888,2,0,20,160,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,0.01,0.0077426368,2,0,20,160,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,0.01,0.012915497,2,0,20,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,0.01,0.021544347,2,0,20,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,0.01,0.035938137,2,0,20,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,0.01,0.059948425,2,0,20,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,0.01,0.1,2,0,20,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,1e-05,0.001,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,1e-05,0.0016681005,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,1e-05,0.0027825594,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,1e-05,0.0046415888,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,1e-05,0.0077426368,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,1e-05,0.012915497,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,1e-05,0.021544347,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,1e-05,0.035938137,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,1e-05,0.059948425,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,1e-05,0.1,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,2.1544347e-05,0.001,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,2.1544347e-05,0.0016681005,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,2.1544347e-05,0.0027825594,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,2.1544347e-05,0.0046415888,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,2.1544347e-05,0.0077426368,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,2.1544347e-05,0.012915497,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,2.1544347e-05,0.021544347,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,2.1544347e-05,0.035938137,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,2.1544347e-05,0.059948425,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,2.1544347e-05,0.1,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,4.6415888e-05,0.001,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,4.6415888e-05,0.0016681005,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,4.6415888e-05,0.0027825594,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,4.6415888e-05,0.0046415888,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,4.6415888e-05,0.0077426368,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
B_fixed_seed_sigma_feedback,4.6415888e-05,0.012915497,2,0,50,60,1e+09,1e+09,explosive,1000,2,False
